filename,path,state,council,year,has_financial_statements,financial_heading,financial_page,total_pages,total_chars
VIC_Kingston_Urban_2025.pdf,2025/VIC/VIC_Kingston_Urban_2025.pdf,VIC,Kingston,2025,True,financial statements,155.0,230,538643
VIC_Geelong_Urban_2025.pdf,2025/VIC/VIC_Geelong_Urban_2025.pdf,VIC,Geelong,2025,True,statement of changes in equity,123.0,147,277236
VIC_South Gippsland_Urban_2025.pdf,2025/VIC/VIC_South Gippsland_Urban_2025.pdf,VIC,South Gippsland,2025,True,financial statements,107.0,171,325962
VIC_Benalla_Rural_2025.pdf,2025/VIC/VIC_Benalla_Rural_2025.pdf,VIC,Benalla,2025,True,financial statements,74.0,136,242777
VIC_Frankston_Urban_2025.pdf,2025/VIC/VIC_Frankston_Urban_2025.pdf,VIC,Frankston,2025,True,notes to the financial statements,3.0,228,454853
VIC_Wangaratta_Urban_2025.pdf,2025/VIC/VIC_Wangaratta_Urban_2025.pdf,VIC,Wangaratta,2025,True,financial statements,77.0,134,333412
VIC_Stonnington_Urban_2025.pdf,2025/VIC/VIC_Stonnington_Urban_2025.pdf,VIC,Stonnington,2025,True,financial statements,157.0,224,469557
VIC_Banyule_Urban_2025.pdf,2025/VIC/VIC_Banyule_Urban_2025.pdf,VIC,Banyule,2025,True,financial statements,3.0,198,392873
VIC_Dandenong_Urban_2025.pdf,2025/VIC/VIC_Dandenong_Urban_2025.pdf,VIC,Dandenong,2025,True,statement of changes in equity,159.0,238,398331
VIC_Wyndham_Urban_2025.pdf,2025/VIC/VIC_Wyndham_Urban_2025.pdf,VIC,Wyndham,2025,False,,,211,449490
VIC_East Gippsland_Urban_2025.pdf,2025/VIC/VIC_East Gippsland_Urban_2025.pdf,VIC,East Gippsland,2025,True,financial statements,130.0,221,406347
VIC_Mansfield_Rural_2025.pdf,2025/VIC/VIC_Mansfield_Rural_2025.pdf,VIC,Mansfield,2025,True,financial statements,63.0,151,283274
VIC_Manningham_Urban_2025.pdf,2025/VIC/VIC_Manningham_Urban_2025.pdf,VIC,Manningham,2025,True,financial statements,243.0,324,427403
VIC_Mitchell_Urban_2025.pdf,2025/VIC/VIC_Mitchell_Urban_2025.pdf,VIC,Mitchell,2025,True,statement of changes in equity,222.0,292,482443
VIC_Whitehorse_Urban_2025.pdf,2025/VIC/VIC_Whitehorse_Urban_2025.pdf,VIC,Whitehorse,2025,True,notes to the financial statements,119.0,172,341494
NT_Darwin_Urban_2025.pdf,2025/NT/NT_Darwin_Urban_2025.pdf,NT,Darwin,2025,True,audited financial statements,7.0,170,310197
NT_Barkly_Rural_2025.pdf,2025/NT/NT_Barkly_Rural_2025.pdf,NT,Barkly,2025,True,general purpose financial statements,3.0,84,51551
NT_West Arnhem_Rural_2025.pdf,2025/NT/NT_West Arnhem_Rural_2025.pdf,NT,West Arnhem,2025,True,financial statement,72.0,113,223545
NT_Roper Gulf_Rural_2025.pdf,2025/NT/NT_Roper Gulf_Rural_2025.pdf,NT,Roper Gulf,2025,True,statement of cash flows,5.0,152,222598
NT_Central Desert_Rural_2025.pdf,2025/NT/NT_Central Desert_Rural_2025.pdf,NT,Central Desert,2025,True,financial statements,3.0,88,186844
NT_Macdonnell_Rural_2025.pdf,2025/NT/NT_Macdonnell_Rural_2025.pdf,NT,Macdonnell,2025,True,statement of comprehensive income,49.0,69,209736
NT_Alice Springs_Urban_2025.pdf,2025/NT/NT_Alice Springs_Urban_2025.pdf,NT,Alice Springs,2025,True,general purpose financial statements,51.0,102,161788
NT_Palmerston_Urban_2025.pdf,2025/NT/NT_Palmerston_Urban_2025.pdf,NT,Palmerston,2025,True,financial statements,3.0,120,240483
NT_Tiwi Islands_Rural_2025.pdf,2025/NT/NT_Tiwi Islands_Rural_2025.pdf,NT,Tiwi Islands,2025,True,statement of comprehensive income,44.0,82,131269
NT_Victoria Daly_Rural_2025.pdf,2025/NT/NT_Victoria Daly_Rural_2025.pdf,NT,Victoria Daly,2025,True,statement of financial position,38.0,55,178155
NT_East Arnhem_Rural_2025.pdf,2025/NT/NT_East Arnhem_Rural_2025.pdf,NT,East Arnhem,2025,True,financial statement,64.0,104,357272
NT_West Daly_Rural_2025.pdf,2025/NT/NT_West Daly_Rural_2025.pdf,NT,West Daly,2025,True,statement of comprehensive income,49.0,84,146511
NT_Katherine_Rural_2025.pdf,2025/NT/NT_Katherine_Rural_2025.pdf,NT,Katherine,2025,True,statement of financial position,56.0,84,182526
NT_Litchfield_Urban_2025.pdf,2025/NT/NT_Litchfield_Urban_2025.pdf,NT,Litchfield,2025,True,audited financial statements,45.0,118,232994
NT_Coomalie_Rural_2025.pdf,2025/NT/NT_Coomalie_Rural_2025.pdf,NT,Coomalie,2025,True,statement of comprehensive income,54.0,90,98244
NT_Wagait_Urban_2025.pdf,2025/NT/NT_Wagait_Urban_2025.pdf,NT,Wagait,2025,True,statement of financial position,36.0,66,138343
SA_Mount Barker_Urban_2025.pdf,2025/SA/SA_Mount Barker_Urban_2025.pdf,SA,Mount Barker,2025,False,,,40,46473
SA_Naracoorte Lucindale_Rural_2025.pdf,2025/SA/SA_Naracoorte Lucindale_Rural_2025.pdf,SA,Naracoorte Lucindale,2025,True,financial statements,22.0,121,202543
SA_Coober Pedy_Rural_2025.pdf,2025/SA/SA_Coober Pedy_Rural_2025.pdf,SA,Coober Pedy,2025,True,audited financial statements,4.0,116,214656
SA_Cleve_Rural_2025.pdf,2025/SA/SA_Cleve_Rural_2025.pdf,SA,Cleve,2025,True,financial statements,25.0,90,131420
SA_Prospect_Urban_2025.pdf,2025/SA/SA_Prospect_Urban_2025.pdf,SA,Prospect,2025,True,financial statements,55.0,256,265157
SA_Flinders Ranges_Rural_2025.pdf,2025/SA/SA_Flinders Ranges_Rural_2025.pdf,SA,Flinders Ranges,2025,True,general purpose financial statements,34.0,129,219853
